game_id,season,week,gameday,away_team,home_team,total_points,total_line,over_odds,under_odds,modelo,pred_total,error,error_absoluto,over_result,push_total
2024_09_HOU_NYJ,2024,9,2024-10-31,HOU,NYJ,34.0,43.5,-115.0,-105.0,total_sin_mercado,42.027217883255865,8.027217883255865,8.027217883255865,0.0,0.0
2024_09_CHI_ARI,2024,9,2024-11-03,CHI,ARI,38.0,44.5,-110.0,-110.0,total_sin_mercado,43.55013881054148,5.550138810541483,5.550138810541483,0.0,0.0
2024_09_DAL_ATL,2024,9,2024-11-03,DAL,ATL,48.0,52.0,-108.0,-112.0,total_sin_mercado,52.35757107313543,4.357571073135432,4.357571073135432,0.0,0.0
2024_09_DEN_BAL,2024,9,2024-11-03,DEN,BAL,51.0,46.5,-110.0,-110.0,total_sin_mercado,47.83797716042998,-3.162022839570021,3.162022839570021,1.0,0.0
2024_09_DET_GB,2024,9,2024-11-03,DET,GB,38.0,47.5,-112.0,-108.0,total_sin_mercado,51.24865688032911,13.248656880329108,13.248656880329108,0.0,0.0
2024_09_IND_MIN,2024,9,2024-11-03,IND,MIN,34.0,47.0,-110.0,-110.0,total_sin_mercado,49.296836436893436,15.296836436893436,15.296836436893436,0.0,0.0
2024_09_JAX_PHI,2024,9,2024-11-03,JAX,PHI,51.0,46.0,-110.0,-110.0,total_sin_mercado,44.78770469242804,-6.2122953075719565,6.2122953075719565,1.0,0.0
2024_09_LAC_CLE,2024,9,2024-11-03,LAC,CLE,37.0,42.5,-112.0,-108.0,total_sin_mercado,37.63906968151837,0.6390696815183716,0.6390696815183716,0.0,0.0
2024_09_LA_SEA,2024,9,2024-11-03,LA,SEA,46.0,48.5,-110.0,-110.0,total_sin_mercado,44.221203439935344,-1.7787965600646558,1.7787965600646558,0.0,0.0
2024_09_LV_CIN,2024,9,2024-11-03,LV,CIN,65.0,45.0,-112.0,-108.0,total_sin_mercado,46.752652582110244,-18.247347417889756,18.247347417889756,1.0,0.0
2024_09_MIA_BUF,2024,9,2024-11-03,MIA,BUF,57.0,49.0,-112.0,-108.0,total_sin_mercado,42.54490045827881,-14.45509954172119,14.45509954172119,1.0,0.0
2024_09_NE_TEN,2024,9,2024-11-03,NE,TEN,37.0,38.5,-110.0,-110.0,total_sin_mercado,43.222583099288286,6.222583099288286,6.222583099288286,0.0,0.0
2024_09_NO_CAR,2024,9,2024-11-03,NO,CAR,45.0,43.5,-112.0,-108.0,total_sin_mercado,50.35106213900694,5.351062139006942,5.351062139006942,1.0,0.0
2024_09_WAS_NYG,2024,9,2024-11-03,WAS,NYG,49.0,44.5,-110.0,-110.0,total_sin_mercado,47.85630668701936,-1.1436933129806377,1.1436933129806377,1.0,0.0
2024_09_TB_KC,2024,9,2024-11-04,TB,KC,54.0,45.5,-112.0,-108.0,total_sin_mercado,46.80458411780318,-7.195415882196819,7.195415882196819,1.0,0.0
2024_10_CIN_BAL,2024,10,2024-11-07,CIN,BAL,69.0,53.0,-112.0,-108.0,total_sin_mercado,55.28705405325681,-13.71294594674319,13.71294594674319,1.0,0.0
2024_10_ATL_NO,2024,10,2024-11-10,ATL,NO,37.0,46.5,-108.0,-112.0,total_sin_mercado,48.61285685480239,11.612856854802388,11.612856854802388,0.0,0.0
2024_10_BUF_IND,2024,10,2024-11-10,BUF,IND,50.0,46.5,-112.0,-108.0,total_sin_mercado,42.628622645379586,-7.371377354620414,7.371377354620414,1.0,0.0
2024_10_DEN_KC,2024,10,2024-11-10,DEN,KC,30.0,42.5,-110.0,-110.0,total_sin_mercado,41.61066487167232,11.61066487167232,11.61066487167232,0.0,0.0
2024_10_DET_HOU,2024,10,2024-11-10,DET,HOU,49.0,49.0,-112.0,-110.0,total_sin_mercado,51.326215989196335,2.326215989196335,2.326215989196335,0.0,1.0
2024_10_MIN_JAX,2024,10,2024-11-10,MIN,JAX,19.0,42.5,-112.0,-108.0,total_sin_mercado,38.76815058472473,19.76815058472473,19.76815058472473,0.0,0.0
2024_10_NE_CHI,2024,10,2024-11-10,NE,CHI,22.0,37.5,-108.0,-112.0,total_sin_mercado,43.40631782594644,21.406317825946438,21.406317825946438,0.0,0.0
2024_10_NYG_CAR,2024,10,2024-11-10,NYG,CAR,37.0,40.5,-105.0,-115.0,total_sin_mercado,37.62614034868329,0.6261403486832933,0.6261403486832933,0.0,0.0
